## Van Noten et al. JOSE - Electronic Supplement S1: HVSR information of ambient noise measurements above boreholes in Brussels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Nr: number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Location: town of measurement in Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#ID: Identification number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Easting: location in Lambert72 coordinates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Northing: location in Lambert72 coordinates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#lon: longitude in WGS84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#lat:latitude in WGS84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Z (DEM): altitude of measurement deduced from DEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Geology: Cover geology of the location (see paper),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Group: Group number of the location (see paper),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Boreholenr: official nr of the borehole above which the measurement was performed (from Geological Survey of Belgium; https://gisel.naturalsciences.be/gisel/gisel.html),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#h: sediment thickness above the bedrock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Top_bedrock: Z_DEM - h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#H/V file: Filenumber of raw ambient noise data file (available upon request),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#f0 min: f0_win/stddev (from GEOPSY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#f0_win: average resonance frequency by taking the f0 of each individual window and averaging all f0 values from these windows (from GEOPSY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#f0 average: scanning the average curve and identifying the frequency at which the maximum amplitude occurs (from GEOPSY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#f0_ip: resonance frequency computed after interpolating the HV-Amplitude graph using python (see paper),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#error: standard deviation on f0 (from GEOPSY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#f0 max: f0_win.stddev (from GEOPSY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#A0: maximum amplitude (from GEOPSY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#nw: number of windows (from GEOPSY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Vs: 4.f0_ip.thickness (Fig. 7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#a_R1_R2_R3: a powerlaw relation value of group R1, R2, R3, R4 (= geologically-dependant PR) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#b_R1_R2_R3: b powerlaw relation value of group R1, R2, R3, R4 (= geologically-dependant PR)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Th_Indiv: predicted sediment thickness after applying PR R1, R2, R3, R4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Th-Th_indiv: difference between True thickness (from borehole) and predicted thickness (from PR R1, R2, R3 or R4; Fig. 6A)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#a_R: a powerlaw relation value of group R (= regional-dependant PR) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#b_R: b powerlaw relation value of group R (= regional-dependant PR) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Th_all: predicted sediment thickness after applying PR R' (Fig. 6A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Th-Th_all: difference between True thickness (from borehole) and predicted thickness (from PR R'; Fig. 6A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#diff: difference between h-h_indic and h-h_all (Fig. 6B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nr,Location,ID,Easting,Northing,lat,lon,Z (DEM),Geology,Region,Borehole,h,Top_Pal,H/V file,f0 min,f0_win,f0 average,f0_ip,error,f0 max,A0,nw,Vs,a_R1_R2_R3_R4,b_R1_R2_R3_R4,h_Indiv,h-h_indiv,a_R',b_R',h_all,h-h_all,diff
1,Watermaal-Bosvoorde,C05,152808.74,166177.22,50.80603905,4.408599172,88.7,Ld,R3,102W0846,115.5,-26.77,C05,0.809,0.822,0.817,0.817,0.014,0.836,17.506,15,379.749884,90.422,-1.641,125.98,-10.48,88.631,-1.683,124.54,-9.04,-1.44
2,Uccle ROB,Ukkel,149305,165170,50.79699117,4.358893142,101.01,Ld,R3,102W0865,116.4,-15.4,Ukkel,0.836,0.904,0.312,0.87,0.068,0.972,7.353,24,421.0158562,90.422,-1.641,113.64,2.76,88.631,-1.683,112.04,4.36,1.6
3,Uccle ROB,Ukkel,149305,165170,50.79699117,4.358893142,101.01,Ld,R3,102W0847,117.7,-16.65,Ukkel,0.873,0.896,0.333,0.87,0.023,0.92,7.813,9,421.8327494,90.422,-1.641,113.64,4.06,88.631,-1.683,112.04,5.66,1.6
4,Elsene,C08,150997.92,168012.92,50.82254732,4.382914146,84.75,Ld,R3,102W0105,122,-37.2,C08,0.804,0.831,0.834,0.833,0.027,0.858,13.128,17,405.5305788,90.422,-1.641,122.04,-0.04,88.631,-1.683,120.54,1.46,1.42
5,Sint-Stevens-Woluwe,C12,153217.39,172254.37,50.86066772,4.41445055,76.88,Ld,R3,088W1056,156.5,-79.6,C12,0.737,0.781,0.767,0.767,0.044,0.826,11.177,17,488.9682042,90.422,-1.641,139.74,16.76,88.631,-1.683,138.51,17.99,1.23
6,Evere,K10,149600.77,175853.2,50.89302824,4.363078221,53.84,Ld,R3,088W0071,171.6,-117.8,K10,0.661,0.683,0.683,0.684,0.022,0.706,7.136,10,469.1916712,90.422,-1.641,168.63,2.97,88.631,-1.683,167.95,3.65,0.68
7,Schaarbeek,B11,152063.24,170760.55,50.84724437,4.398048952,90.32,Mal,R3,088W0049,133.4,-43.11,B11,0.741,0.768,0.766,0.767,0.027,0.794,15.945,17,409.6850732,90.422,-1.641,139.74,-6.34,88.631,-1.683,138.51,-5.11,-1.23
8,Oudergem,E09,152465.83,168247.93,50.82465547,4.403748394,91.99,Mal,R3,102W0005,140.4,-48.44,E09,0.753,0.804,0.783,0.784,0.051,0.855,10.731,13,451.53469,90.422,-1.641,134.8,5.6,88.631,-1.683,133.49,6.91,1.31
9,Wezembeek-Oppem,L12,156405.76,171203.87,50.85119763,4.459718308,76.64,Mal,R3,088E0688,144.9,-68.23,L12,0.746,0.788,0.767,0.767,0.043,0.831,9.014,13,456.9014366,90.422,-1.641,139.74,5.16,88.631,-1.683,138.51,6.39,1.23
10,Wezembeek-Oppem,K12,156387.59,171123.82,50.85047822,4.459458882,75.99,Mal,R3,088E0687,145.4,-69.36,K12,0.77,0.79,0.78,0.78,0.02,0.81,9.72,14,459.5420484,90.422,-1.641,135.94,9.46,88.631,-1.683,134.65,10.75,1.29
11,Wezembeek-Oppem,K12,156387.59,171123.82,50.85047822,4.459458882,75.99,Mal,R3,088E0687,145.4,-69.36,K12,0.77,0.79,0.78,0.78,0.02,0.81,9.72,14,459.5420484,90.422,-1.641,135.94,9.46,88.631,-1.683,134.65,10.75,1.29
12,Evere,L10,149473.54,175885.43,50.89331787,4.361269815,58.06,Mal,R3,088W0071,175.9,-117.8,L10,0.66,0.7,0.7,0.7,0.04,0.75,5.37,26,493.7628254,90.422,-1.641,162.36,13.54,88.631,-1.683,161.54,14.36,0.81
13,Uccle,A201,151025.0847,162193.0678,50.770229,4.383283,124,Shh,R3,102E0PZ2,126.5,-2.5,170626_0933.201,0.805,0.85,0.843,0.85,0.046,0.896,10.47,67,430.280136,90.422,-1.641,118.06,8.44,88.631,-1.683,116.51,9.99,1.55
14,Beersel,A340,148115.2059,159724.6854,50.74803703,4.342044024,84.09,Br,R3,102w0867,65.5,18.63,170824_1206.340,0.978,1.049,1.092,1.334,0.071,1.12,9.583,16,274.7539488,90.422,-1.641,56.35,9.15,88.631,-1.683,54.57,10.93,1.78
15,Beersel,A235,146338.6202,161289.4308,50.76209536,4.316855238,98,Br,R3,102W0858,70.1,27.89,170802_0941.235,1.095,1.226,1.211,1.215,0.131,1.358,9.162,35,343.9372248,90.422,-1.641,65.69,4.41,88.631,-1.683,63.86,6.24,1.83
