## Van Noten et al. JOSE - Electronic Supplement S2 - Results of the HVSR Survey south of Brussels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Nr: number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Date: date of acquisition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Name: ID name of measurement (A, B, C are measured with different Citysharks)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Easting: location in Lambert '72 coordinates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Northing: location in Lambert '72 coordinates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#lon: longitude in WGS84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#lat:latitude in WGS84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Gain: amplification gain on Cityshark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Ovmx: allowed saturation percentage (in %),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Rec. time: recording time of acquisition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#SR: Sampling rate (in Hz) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Start time: starting time of acquisition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#End time: End time of acquisition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Filename: Filenumber of raw ambient noise data file (available upon request),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#f0 min: f0_win/stddev (from GEOPSY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#f0_win: average resonance frequency by taking the f0 of each individual window and averaging all f0 values from these windows (from GEOPSY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#f0 average: scanning the average curve and identifying the frequency at which the maximum amplitude occurs (from GEOPSY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#f0_ip: resonance frequency computed after interpolating the HV-Amplitude graph using python (see paper),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#f0_ip_diff: difference between f0_ip and f0 average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#error: standard deviation on f0 (from GEOPSY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#f0 max: f0_win.stddev (from GEOPSY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#A0: maximum amplitude (from GEOPSY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#nw: number of windows (from GEOPSY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Geology: Cover geology of the location (see paper for abbreviations; al = alluvium),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Group: Group number of the location (see paper),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#BM: Stratigraphy of bedrock of the Brabant Massif (pTu: Tubize Formation; pBl: Blanmont Formation),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#A_max: maximum amplitude at resonance frequency deduced from the HVSR polarisation analysis (see Fig. 4 of paper),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#max_freq: Resonance frequency at A_max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#max_Azi: Azimuth at which resonance frequency is maximum (deduced from polarisation analysis),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#A_min: minimum amplitude at resonance frequency deduced from the HVSR polarisation analysis (see Fig. 4 of paper),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#min_fre q:  Azimuth at which resonance frequency is minimal (deduced from polarisation analysis),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#min_Azi: Azimuth at which resonance frequency is minimum (deduced from polarisation analysis),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nr,Date,Name,Easting,Northing,lat,lon,Z (DEM),Gain,Ovmx,Rec. time,SR,Start time,End time,Filename,f0 min,f0_win,f0 average,f0_ip,f0_ip_diff,error,f0 max,A0,nw,Geology,Region,BM,Th_indiv,Top_indiv,Th_all,Top_all,diff,borehole,A_max,max_freq,max_Azi,A_min,min_freq,min_Azi
0,26/06/2017,A201,151025.0847,162193.0678,50.770229,4.383283,124,128,5,00:40,100,09:33,10:13,170626_0933.201,0.805,0.85,0.843,0.85,0,0.046,0.896,10.47,67,Shh,R3,PTu,115.72,8.28,116.51,7.49,-0.79,124,9.94885,0.833221,30,9.28274,0.865017,90
1,26/06/2017,A202,151117.5959,162679.645,50.774603,4.384596,119.23,512,5,00:20,100,10:45,11:05,170626_1045.202,0.788,0.828,0.843,0.827,-0.001,0.041,0.869,10.767,35,Mal,R3,PTu,121.05,-1.82,122.02,-2.79,-0.97,,11.3832,0.816373,10,9.58308,0.847526,100
2,26/06/2017,A203,151635.6421,162976.4595,50.77727,4.391942,126.87,512,5,00:20,100,11:28,11:48,170626_1128.203,0.778,0.797,0.801,0.794,-0.003,0.019,0.815,17.775,37,Shh,R3,PTu,129.41,-2.54,130.67,-3.8,-1.26,,18.5549,0.783692,20,15.3557,0.799865,110
3,26/06/2017,A204,151303.5648,162518.1713,50.773151,4.387232,122.58,256,5,00:20,100,12:10,12:30,170626_1210.204,0.792,0.842,0.843,0.837,-0.005,0.05,0.892,11.851,34,Mal,R3,PTu,118.68,3.9,119.57,3.01,-0.89,,11.4331,0.816373,20,10.4439,0.862077,140
4,26/06/2017,A205,150878.9403,162106.6076,50.769452,4.381211,127.53,512,5,00:20,100,13:05,13:25,170626_1305.205,0.817,0.852,0.843,0.857,0.004,0.035,0.887,10.064,31,Shh,R3,PTu,114.17,13.36,114.92,12.61,-0.74,,10.5645,0.850416,30,9.84464,0.865017,150
5,26/06/2017,A206,150800.7406,162351.3191,50.771652,4.380103,114.63,256,5,00:20,100,13:40,14:00,170626_1340.206,0.814,0.866,0.888,0.867,0.001,0.053,0.919,8.711,29,Shh,R3,PTu,112.02,2.61,112.69,1.94,-0.67,,8.97959,0.866357,60,7.97465,0.866357,150
6,26/06/2017,A207,150863.1595,162393.8227,50.772034,4.380988,112.26,256,5,00:20,100,14:09,14:29,170626_1409.207,0.825,0.86,0.843,0.863,0.003,0.036,0.896,10.373,16,Mal,R3,PTu,112.87,-0.61,113.57,-1.31,-0.7,,8.50838,0.850416,10,7.99857,0.870927,50
7,26/06/2017,A208,150844.4994,162617.7427,50.774047,4.380724,105.35,256,5,00:20,100,14:42,15:02,170626_1442.208,0.971,1.011,0.985,0.993,-0.019,0.04,1.051,8.585,8,Ld,R3,PTu,89.66,15.69,89.69,15.66,-0.03,,3.77435,0.981144,70,3.16245,1.00481,10
8,26/06/2017,A209,150760.8648,162947.7741,50.777014,4.379539,108.13,128,5,00:20,100,15:15,15:35,170626_1515.209,0.907,0.965,0.935,0.94,-0.026,0.058,1.024,6.05,19,Ld,R3,PTu,98.1,10.03,98.36,9.77,-0.26,,6.29155,0.932296,20,6.14477,0.932296,110
9,26/06/2017,A210,150133.7305,162358.0389,50.771713,4.370647,102.12,256,5,00:20,100,15:56,16:16,170626_1556.210,0.904,0.952,0.935,0.949,-0.002,0.047,0.999,8.753,25,Ld,R3,PTu,96.58,5.54,96.79,5.33,-0.21,,7.83538,0.91656,20,7.1863,0.951536,130
10,25/07/2017,A211,150594.9997,162107,50.76945591,4.377185848,122.91,512,5,00:20,100,09:56,10:16,170725_0956.211,0.811,0.857,0.888,0.87,0.013,0.047,0.904,9.426,24,Shh,R3,PTu,111.39,11.52,112.04,10.87,-0.65,,8.18808,0.867967,50,7.61981,0.882869,140
11,25/07/2017,A212,150170.1488,161942.667,50.76797892,4.371163046,104.79,512,5,00:20,100,10:26,10:46,170725_1026.212,0.929,0.984,0.985,0.983,-0.002,0.055,1.04,7.618,26,Ld,R3,PTu,91.16,13.63,91.23,13.56,-0.07,,7.69972,0.98449,170,7.40132,1.00139,40
12,25/07/2017,A213,149901.9067,161975.2366,50.76827175,4.36736055,99.74,512,5,00:20,100,11:04,11:24,170725_1104.213,0.97,1.023,1.037,1.019,-0.004,0.053,1.077,7.335,25,Br,R3,PTu,85.94,13.8,85.87,13.87,0.07,,6.89126,0.997989,0,5.9727,1.01859,80
13,25/07/2017,A214,150290.1571,162238.8346,50.77064132,4.372864507,110.62,512,5,00:20,100,11:35,11:55,170725_1135.214,0.844,0.896,0.888,0.91,0.014,0.052,0.948,8.857,28,Mal,R3,PTu,103.47,7.15,103.88,6.74,-0.41,,9.14084,0.901089,0,7.47722,0.938666,100
